LOAN TYPE,QUARTER-END-DATE,QUARTERS,TOTAL ADVANCES,GROSS NPA,GNPA RATIO,PROVISION RATE,PROVISION,NET NPA,NPA RATIO,RECOVERY,NO.OF ACCOUNTS,REPO RATES,CPI,GDP
AGRICULTURE,31/03/2019,Q1 FY19,6548273.00 ,506171.00 ,7.73 ,71.0%,359381.41 ,146789.59 ,2.24 ,280034.00 ,13 ,6%,1.98%,3.87%
AGRICULTURE,30/06/2019,Q2 FY19,8713332.00 ,930142.00 ,10.67 ,71.0%,660400.82 ,269741.18 ,3.10 ,212550.00 ,20 ,5.75%,2.05%,3.87%
AGRICULTURE,30/09/2019,Q3 FY19,3962509.00 ,1879384.00 ,47.43 ,70.0%,1315568.80 ,563815.20 ,14.23 ,787767.00 ,14 ,5.40%,2.01%,3.87%
AGRICULTURE,31/12/2019,Q4 FY19,5648772.00 ,264939.00 ,4.69 ,68.0%,180158.52 ,84780.48 ,1.50 ,125797.00 ,13 ,5.15%,2.28%,3.87%
AGRICULTURE,31/03/2020,Q1 FY20,3369719.00 ,728726.00 ,21.63 ,72.0%,524682.72 ,204043.28 ,6.06 ,503748.00 ,13 ,4.40%,0.10%,-5.78%
AGRICULTURE,30/06/2020,Q2 FY20,9270866.00 ,2652668.00 ,28.61 ,68.0%,1803814.24 ,848853.76 ,9.16 ,1271531.00 ,19 ,4%,0.71%,-5.78%
AGRICULTURE,30/09/2020,Q3 FY20,11175335.00 ,923476.00 ,8.26 ,68.0%,627963.68 ,295512.32 ,2.64 ,330919.00 ,18 ,4%,2.33%,-5.78%
AGRICULTURE,31/12/2020,Q4 FY20,3885260.00 ,115112.00 ,2.96 ,74.4%,85643.33 ,29468.67 ,0.76 ,241982.00 ,12 ,4%,1.72%,-5.78%
AGRICULTURE,31/03/2021,Q1 FY21,4656290.00 ,707282.00 ,15.19 ,72.0%,509243.04 ,198038.96 ,4.25 ,224184.00 ,20 ,4%,-0.39%,9.69%
AGRICULTURE,30/06/2021,Q2 FY21,10566236.00 ,1847185.00 ,17.48 ,68.0%,1256085.80 ,591099.20 ,5.59 ,827685.00 ,15 ,4%,1.56%,9.69%
AGRICULTURE,30/09/2021,Q3 FY21,3452054.00 ,646819.00 ,18.74 ,71.0%,459241.49 ,187577.51 ,5.43 ,167083.00 ,12 ,4%,1.84%,9.69%
AGRICULTURE,31/12/2021,Q4 FY21,4112083.00 ,398667.00 ,9.70 ,71.0%,283053.57 ,115613.43 ,2.81 ,213893.00 ,13 ,4%,1.86%,9.69%
AGRICULTURE,31/03/2022,Q1 FY22,3709826.00 ,28996.00 ,0.78 ,72.7%,21080.09 ,7915.91 ,0.21 ,20640.00 ,20 ,4%,0.02%,6.99%
AGRICULTURE,30/06/2022,Q2 FY22,6408410.00 ,1613918.00 ,25.18 ,73.0%,1178160.14 ,435757.86 ,6.80 ,912314.00 ,15 ,4.90%,2.60%,6.99%
AGRICULTURE,30/09/2022,Q3 FY22,6768020.00 ,592239.00 ,8.75 ,71.0%,420489.69 ,171749.31 ,2.54 ,935978.00 ,12 ,5.90%,1.42%,6.99%
AGRICULTURE,31/12/2022,Q4 FY22,5394686.00 ,766669.00 ,14.21 ,73.0%,559668.37 ,207000.63 ,3.84 ,305446.00 ,13 ,6.25%,1.50%,6.99%
AGRICULTURE,31/03/2023,Q1 FY23,8700689.00 ,1432985.00 ,16.47 ,73.0%,1046079.05 ,386905.95 ,4.45 ,605445.00 ,21 ,6.50%,0.37%,8.15%
AGRICULTURE,30/06/2023,Q2 FY23,5499902.00 ,1124218.00 ,20.44 ,76.0%,854405.68 ,269812.32 ,4.91 ,602870.00 ,15 ,6.50%,1.62%,8.15%
AGRICULTURE,30/09/2023,Q3 FY23,4552265.00 ,0.00 ,0.00 ,74.0%,0.00 ,0.00 ,0.00 ,0.00 ,9 ,6.50%,2.73%,8.15%
AGRICULTURE,31/12/2023,Q4 FY23,2852697.00 ,215900.00 ,7.57 ,75.0%,161925.00 ,53975.00 ,1.89 ,116855.00 ,12 ,6.50%,1.54%,8.15%
EDUCATION LOAN,31/03/2019,Q1 FY19,4797725.00 ,0.00 ,0.00 ,71.0%,0.00 ,0.00 ,0.00 ,0.00 ,9 ,6%,1.98%,3.87%
EDUCATION LOAN,31/03/2020,Q1 FY20,8216585.00 ,190520.00 ,2.32 ,72.0%,137174.40 ,53345.60 ,0.65 ,26239.00 ,16 ,4.40%,0.10%,-5.78%
EDUCATION LOAN,31/03/2021,Q1 FY21,6486569.00 ,700244.00 ,10.80 ,72.0%,504175.68 ,196068.32 ,3.02 ,268459.00 ,8 ,4%,-0.39%,9.69%
EDUCATION LOAN,31/03/2022,Q1 FY22,4348619.00 ,0.00 ,0.00 ,72.7%,0.00 ,0.00 ,0.00 ,0.00 ,8 ,4%,0.02%,6.99%
EDUCATION LOAN,31/03/2023,Q1 FY23,7955504.00 ,2922599.00 ,36.74 ,73.0%,2133497.27 ,789101.73 ,9.92 ,1186841.00 ,12 ,6.50%,0.37%,8.15%
EDUCATION LOAN,30/06/2019,Q2 FY19,7545576.00 ,621353.00 ,8.23 ,71.0%,441160.63 ,180192.37 ,2.39 ,250000.00 ,11 ,5.75%,2.05%,3.87%
EDUCATION LOAN,30/06/2020,Q2 FY20,4363991.00 ,678986.00 ,15.56 ,68.0%,461710.48 ,217275.52 ,4.98 ,262032.00 ,14 ,4%,0.71%,-5.78%
EDUCATION LOAN,30/06/2021,Q2 FY21,11032293.00 ,2201941.00 ,19.96 ,68.0%,1497319.88 ,704621.12 ,6.39 ,1199627.00 ,16 ,4%,1.56%,9.69%
EDUCATION LOAN,30/06/2022,Q2 FY22,4915554.00 ,0.00 ,0.00 ,73.0%,0.00 ,0.00 ,0.00 ,0.00 ,16 ,4.90%,2.60%,6.99%
EDUCATION LOAN,30/06/2023,Q2 FY23,4680130.00 ,0.00 ,0.00 ,76.0%,0.00 ,0.00 ,0.00 ,0.00 ,8 ,6.50%,1.62%,8.15%
EDUCATION LOAN,30/09/2019,Q3 FY19,3507430.00 ,1358269.00 ,38.73 ,70.0%,950788.30 ,407480.70 ,11.62 ,701009.00 ,9 ,5.40%,2.01%,3.87%
EDUCATION LOAN,30/09/2020,Q3 FY20,8193301.00 ,907497.00 ,11.08 ,68.0%,617097.96 ,290399.04 ,3.54 ,608811.00 ,9 ,4%,2.33%,-5.78%
EDUCATION LOAN,30/09/2021,Q3 FY21,2752333.00 ,0.00 ,0.00 ,71.0%,0.00 ,0.00 ,0.00 ,0.00 ,5 ,4%,1.84%,9.69%
EDUCATION LOAN,30/09/2022,Q3 FY22,6772448.00 ,0.00 ,0.00 ,71.0%,0.00 ,0.00 ,0.00 ,0.00 ,5 ,5.90%,1.42%,6.99%
EDUCATION LOAN,30/09/2023,Q3 FY23,2994940.00 ,0.00 ,0.00 ,74.0%,0.00 ,0.00 ,0.00 ,0.00 ,9 ,6.50%,2.73%,8.15%
EDUCATION LOAN,31/12/2019,Q4 FY19,3520783.00 ,1624097.00 ,46.13 ,68.0%,1104385.96 ,519711.04 ,14.76 ,1009000.00 ,6 ,5.15%,2.28%,3.87%
EDUCATION LOAN,31/12/2020,Q4 FY20,2280302.00 ,324162.00 ,14.22 ,74.4%,241176.53 ,82985.47 ,3.64 ,178815.00 ,9 ,4%,1.72%,-5.78%
EDUCATION LOAN,31/12/2021,Q4 FY21,1607681.00 ,0.00 ,0.00 ,71.0%,0.00 ,0.00 ,0.00 ,0.00 ,6 ,4%,1.86%,9.69%
EDUCATION LOAN,31/12/2022,Q4 FY22,9130445.00 ,890857.00 ,9.76 ,73.0%,650325.61 ,240531.39 ,2.63 ,290796.00 ,6 ,6.25%,1.50%,6.99%
EDUCATION LOAN,31/12/2023,Q4 FY23,8185928.00 ,1127261.00 ,13.77 ,75.0%,845445.75 ,281815.25 ,3.44 ,641533.00 ,12 ,6.50%,1.54%,8.15%
HOME LOAN,31/03/2019,Q1 FY19,26982321.00 ,3979172.00 ,14.75 ,71.0%,2825212.12 ,1153959.88 ,4.28 ,1702767.00 ,16 ,6%,1.98%,3.87%
HOME LOAN,30/06/2019,Q2 FY19,29833677.00 ,0.00 ,0.00 ,71.0%,0.00 ,0.00 ,0.00 ,0.00 ,11 ,5.75%,2.05%,3.87%
HOME LOAN,30/09/2019,Q3 FY19,21853567.00 ,1819907.00 ,8.33 ,70.0%,1273934.90 ,545972.10 ,2.50 ,645350.00 ,11 ,5.40%,2.01%,3.87%
HOME LOAN,31/12/2019,Q4 FY19,21839031.00 ,0.00 ,0.00 ,68.0%,0.00 ,0.00 ,0.00 ,0.00 ,11 ,5.15%,2.28%,3.87%
HOME LOAN,31/03/2020,Q1 FY20,30631459.00 ,1230051.00 ,4.02 ,72.0%,885636.72 ,344414.28 ,1.12 ,258059.00 ,11 ,4.40%,0.10%,-5.78%
HOME LOAN,30/06/2020,Q2 FY20,28637258.00 ,0.00 ,0.00 ,68.0%,0.00 ,0.00 ,0.00 ,0.00 ,7 ,4%,0.71%,-5.78%
HOME LOAN,30/09/2020,Q3 FY20,18967221.00 ,10228681.00 ,53.93 ,68.0%,6955503.08 ,3273177.92 ,17.26 ,1352494.00 ,11 ,4%,2.33%,-5.78%
HOME LOAN,31/12/2020,Q4 FY20,5439712.00 ,0.00 ,0.00 ,74.4%,0.00 ,0.00 ,0.00 ,0.00 ,7 ,4%,1.72%,-5.78%
HOME LOAN,31/03/2021,Q1 FY21,32081669.00 ,9068132.00 ,28.27 ,72.0%,6529055.04 ,2539076.96 ,7.91 ,4063197.00 ,17 ,4%,-0.39%,9.69%
HOME LOAN,30/06/2021,Q2 FY21,26438098.00 ,0.00 ,0.00 ,68.0%,0.00 ,0.00 ,0.00 ,0.00 ,11 ,4%,1.56%,9.69%
HOME LOAN,30/09/2021,Q3 FY21,38026888.00 ,5621486.00 ,14.78 ,71.0%,3991255.06 ,1630230.94 ,4.29 ,3776559.00 ,18 ,4%,1.84%,9.69%
HOME LOAN,31/12/2021,Q4 FY21,32668756.00 ,2476471.00 ,7.58 ,71.0%,1758294.41 ,718176.59 ,2.20 ,1183590.00 ,15 ,4%,1.86%,9.69%
HOME LOAN,31/03/2022,Q1 FY22,9836028.00 ,1833461.00 ,18.64 ,72.7%,1332926.15 ,500534.85 ,5.09 ,1264931.00 ,17 ,4%,0.02%,6.99%
HOME LOAN,30/06/2022,Q2 FY22,22030881.00 ,296332.00 ,1.35 ,73.0%,216322.36 ,80009.64 ,0.36 ,236204.00 ,11 ,4.90%,2.60%,6.99%
HOME LOAN,30/09/2022,Q3 FY22,19737721.00 ,0.00 ,0.00 ,71.0%,0.00 ,0.00 ,0.00 ,0.00 ,18 ,5.90%,1.42%,6.99%
HOME LOAN,31/12/2022,Q4 FY22,28157482.00 ,335236.00 ,1.19 ,73.0%,244722.28 ,90513.72 ,0.32 ,204678.00 ,15 ,6.25%,1.50%,6.99%
HOME LOAN,31/03/2023,Q1 FY23,32151497.00 ,0.00 ,0.00 ,73.0%,0.00 ,0.00 ,0.00 ,0.00 ,14 ,6.50%,0.37%,8.15%
HOME LOAN,30/06/2023,Q2 FY23,20797966.00 ,2427957.00 ,11.67 ,76.0%,1845247.32 ,582709.68 ,2.80 ,1858564.00 ,13 ,6.50%,1.62%,8.15%
HOME LOAN,30/09/2023,Q3 FY23,16964481.00 ,0.00 ,0.00 ,74.0%,0.00 ,0.00 ,0.00 ,0.00 ,10 ,6.50%,2.73%,8.15%
HOME LOAN,31/12/2023,Q4 FY23,23267068.00 ,8231700.00 ,35.38 ,75.0%,6173775.00 ,2057925.00 ,8.84 ,4120737.00 ,11 ,6.50%,1.54%,8.15%
PERSONAL LOAN,31/03/2019,Q1 FY19,5668287.00 ,652296.00 ,11.51 ,71.0%,463130.16 ,189165.84 ,3.34 ,442869.00 ,10 ,6%,1.98%,3.87%
PERSONAL LOAN,31/03/2020,Q1 FY20,8130969.00 ,1274565.00 ,15.68 ,72.0%,917686.80 ,356878.20 ,4.39 ,521742.00 ,13 ,4.40%,0.10%,-5.78%
PERSONAL LOAN,31/03/2021,Q1 FY21,18023491.00 ,1506056.00 ,8.36 ,72.0%,1084360.32 ,421695.68 ,2.34 ,550840.00 ,20 ,4%,-0.39%,9.69%
PERSONAL LOAN,31/03/2022,Q1 FY22,9526089.00 ,463984.00 ,4.87 ,72.7%,337316.37 ,126667.63 ,1.33 ,170248.00 ,20 ,4%,0.02%,6.99%
PERSONAL LOAN,31/03/2023,Q1 FY23,12811572.00 ,2164096.00 ,16.89 ,73.0%,1579790.08 ,584305.92 ,4.56 ,1228598.00 ,18 ,6.50%,0.37%,8.15%
